Node	CRUD	DataFlowValue
specialinvoke $r1.<sample.functionA.MethodsA: void <init>()>()	[r0, $r1]	null
r2 = $r1	[r0, $r1]	null
virtualinvoke r2.<sample.functionA.MethodsA: int method01(int,int)>(1, 20)	[r0, $r1, r2]	null
$r4 := @caughtexception	[r0, $r1, r2]	null
virtualinvoke r3.<java.lang.Exception: void printStackTrace()>()	[r0, $r1, r2, $r4, r3]	null
$r1 = new sample.functionA.MethodsA	[r0]	null
goto [?= return]	[r0, $r1, r2]	null
r3 = $r4	[r0, $r1, r2, $r4]	null
return	[r0, $r1, r2]	null
r0 := @parameter0: java.lang.String[]	[]	null
